seqName,clade,pango_growth,clade_growth,pango_lif,clade_lif,pango_time,clade_time
BF.7.10,22B,0.6273742575538547,0.45246697522466606,-364.57688513083286,-302.9872356837063,1023.2631578947368,939.1235281351505
BF.7.6,22B,0.623377563508836,0.45246697522466606,-357.4448865199034,-302.9872356837063,1014.0287081339712,939.1235281351505
BF.7.11,22B,0.6329198384570969,0.45246697522466606,-371.810854720472,-302.9872356837063,1037.25,939.1235281351505
BF.7.13,22B,0.6577999338547341,0.45246697522466606,-399.15124862072946,-302.9872356837063,1067.0,939.1235281351505
BF.7.12,22B,0.6251119717934165,0.45246697522466606,-360.8210614444739,-302.9872356837063,1017.3170731707318,939.1235281351505
BF.7.21,22B,0.6298270667265888,0.45246697522466606,-364.5912961331567,-302.9872356837063,1032.286956521739,939.1235281351505
BF.7.13.2,22B,0.6091167071152571,0.45246697522466606,-349.4092327846619,-302.9872356837063,980.0,939.1235281351505
BF.7.14,22B,0.6595100361536138,0.45246697522466606,-397.0011662756531,-302.9872356837063,1069.6226415094338,939.1235281351505
BF.7.14.1,22B,0.6601415573335105,0.45246697522466606,-399.4483961952873,-302.9872356837063,1071.2222222222222,939.1235281351505
BF.7.4.2,22B,0.6103901747356009,0.45246697522466606,-346.5374269497842,-302.9872356837063,985.2459016393443,939.1235281351505
BF.7.14.4,22B,0.6562660582734807,0.45246697522466606,-396.42136431427764,-302.9872356837063,1062.6666666666665,939.1235281351505
BF.7.14.3,22B,0.6588077614741293,0.45246697522466606,-399.53180556000103,-302.9872356837063,1069.5,939.1235281351505
BF.7.15,22B,0.6661920755887528,0.45246697522466606,-406.2221122137908,-302.9872356837063,1099.857142857143,939.1235281351505
BF.7.16,22B,0.6125723532936926,0.45246697522466606,-349.28452960892713,-302.9872356837063,993.1818181818182,939.1235281351505
BF.7.17,22B,0.6436681658218842,0.45246697522466606,-381.7964828361861,-302.9872356837063,1045.5833333333333,939.1235281351505
BF.7.19,22B,0.6267038769850236,0.45246697522466606,-363.2581066920471,-302.9872356837063,1022.1944444444443,939.1235281351505
BF.7.18,22B,0.6266766880435243,0.45246697522466606,-366.81383588535635,-302.9872356837063,1022.0,939.1235281351505
BF.7.14.5,22B,0.6544379989915236,0.45246697522466606,-394.483619400522,-302.9872356837063,1058.6666666666665,939.1235281351505
BF.7.19.1,22B,0.6276073221862393,0.45246697522466606,-365.3617147606853,-302.9872356837063,1024.7272727272727,939.1235281351505
BF.7.20,22B,0.6227641095457112,0.45246697522466606,-357.56795429500136,-302.9872356837063,1011.0904522613065,939.1235281351505
BF.7.14.6,22B,0.6567406165749922,0.45246697522466606,-395.944758287628,-302.9872356837063,1064.0,939.1235281351505
BF.7.22,22B,0.6256807315447915,0.45246697522466606,-361.1688341898477,-302.9872356837063,1019.4466019417475,939.1235281351505
BF.7.26,22B,0.6146440758973606,0.45246697522466606,-350.661352336141,-302.9872356837063,1002.421875,939.1235281351505
BF.7.24,22B,0.6267708074602583,0.45246697522466606,-362.3667630277382,-302.9872356837063,1022.6808510638298,939.1235281351505
BF.7.23,22B,0.6256635127124126,0.45246697522466606,-360.85875685102053,-302.9872356837063,1019.3260869565216,939.1235281351505
BF.8,22B,0.5828908237214275,0.45246697522466606,-316.33079690345767,-302.9872356837063,914.1949458483755,939.1235281351505
BF.7.27,22B,0.6141958996071817,0.45246697522466606,-348.3820414942127,-302.9872356837063,999.3391521197008,939.1235281351505
BF.10,22B,0.5956631457747731,0.45246697522466606,-326.8283484953992,-302.9872356837063,935.8706564815348,939.1235281351505
BF.11,22B,0.6184863566667288,0.45246697522466606,-350.56675526146915,-302.9872356837063,1007.3242287917737,939.1235281351505
BF.10.1,22B,0.6291700452743124,0.45246697522466606,-364.99963667698603,-302.9872356837063,1030.5641025641025,939.1235281351505
BF.11.3,22B,0.6233734960607059,0.45246697522466606,-359.3818989481586,-302.9872356837063,1014.0,939.1235281351505
BF.13,22B,0.6073834418444183,0.45246697522466606,-340.2598539838021,-302.9872356837063,971.1798972015991,939.1235281351505
BF.14,22B,0.6140758444949436,0.45246697522466606,-347.0438182065432,-302.9872356837063,997.9255162241888,939.1235281351505
BF.11.1,22B,0.6137677100069389,0.45246697522466606,-349.24425958272604,-302.9872356837063,997.2252252252254,939.1235281351505
BF.12,22B,0.5825654606746611,0.45246697522466606,-319.95813014581097,-302.9872356837063,913.3010752688173,939.1235281351505
BF.11.4,22B,0.6185695954820614,0.45246697522466606,-354.45955155867273,-302.9872356837063,1008.1304347826086,939.1235281351505
BF.16,22B,0.6042358943452176,0.45246697522466606,-338.37309176919644,-302.9872356837063,956.6815742397139,939.1235281351505
BF.11.5,22B,0.6282727428709884,0.45246697522466606,-364.5675875648425,-302.9872356837063,1027.1041666666665,939.1235281351505
BF.11.2,22B,0.6468085930056796,0.45246697522466606,-383.7176279963597,-302.9872356837063,1050.7446808510638,939.1235281351505
BF.15,22B,0.6051308391258046,0.45246697522466606,-340.69648543533907,-302.9872356837063,959.9147286821706,939.1235281351505
BF.17,22B,0.6037162811432708,0.45246697522466606,-341.80475893468946,-302.9872356837063,954.7272727272727,939.1235281351505
