seqName,clade,pango_growth,clade_growth,pango_lif,clade_lif,pango_time,clade_time
B.1.78,20A,0.12087011998913481,0.010435270606816177,-7.796241671641155,0.41734082689292484,309.7173913043478,286.8953708124453
B.1.609,20A,0.12105360499298298,0.010435270606816177,-5.601323066276936,0.41734082689292484,310.98399085191534,286.8953708124453
B.1.260,20A,0.12172457577477203,0.010435270606816177,-10.445087931405638,0.41734082689292484,315.4705882352941,286.8953708124453
B.1.395,20A,0.12175823449579407,0.010435270606816177,-9.92162782263299,0.41734082689292484,315.6896551724138,286.8953708124453
B.1.243,20A,0.12220865194754682,0.010435270606816177,-3.6411689184977365,0.41734082689292484,318.56921354603975,286.8953708124453
B.1.222,20A,0.12315950328288695,0.010435270606816177,-12.638848835843985,0.41734082689292484,324.3333333333333,286.8953708124453
B.1.36.1,20A,0.12348269877175203,0.010435270606816177,-11.539994351312206,0.41734082689292484,326.20000000000005,286.8953708124453
B.1.398,20A,0.12374236168981753,0.010435270606816177,-12.13571334642026,0.41734082689292484,327.66666666666663,286.8953708124453
B.1.234,20A,0.12444014636225678,0.010435270606816177,-5.01186241399411,0.41734082689292484,331.46772644830895,286.8953708124453
B.1.232,20A,0.12459599832515515,0.010435270606816177,-6.49673117944094,0.41734082689292484,332.28980322003576,286.8953708124453
B.1.462,20A,0.12463608071532728,0.010435270606816177,-13.529332281524802,0.41734082689292484,332.5,286.8953708124453
B.1.36,20A,0.12466712674923514,0.010435270606816177,-8.61605233075205,0.41734082689292484,332.6618181818182,286.8953708124453
B.1.212,20A,0.1249262000126178,0.010435270606816177,-13.62601870225731,0.41734082689292484,334.0,286.8953708124453
B.1.179,20A,0.12532280665689843,0.010435270606816177,-11.74399616109915,0.41734082689292484,336.0,286.8953708124453
B.1.258.3,20A,0.12532282955795365,0.010435270606816177,-13.75890329901188,0.41734082689292484,336.0,286.8953708124453
B.1.544,20A,0.12578177312608957,0.010435270606816177,-9.298508878790798,0.41734082689292484,338.24257425742576,286.8953708124453
B.1.160,20A,0.1258516471027172,0.010435270606816177,-10.367742632317093,0.41734082689292484,338.57746478873236,286.8953708124453
B.1.438,20A,0.12597006970627886,0.010435270606816177,-10.227899913781277,0.41734082689292484,339.1411764705882,286.8953708124453
B.1.404,20A,0.12621008402327458,0.010435270606816177,-7.722112791778396,0.41734082689292484,340.2690265486725,286.8953708124453
B.1.258.17,20A,0.12712818072921592,0.010435270606816177,-11.402845356877487,0.41734082689292484,344.4102564102564,286.8953708124453
B.1.466.1,20A,0.1271766561068535,0.010435270606816177,-11.472189437185474,0.41734082689292484,344.62162162162167,286.8953708124453
B.1.409,20A,0.12732760286537392,0.010435270606816177,-7.899557550360087,0.41734082689292484,345.2752161383285,286.8953708124453
B.1.561,20A,0.12741352759888874,0.010435270606816177,-7.181420171147226,0.41734082689292484,345.64427012278304,286.8953708124453
B.1.527,20A,0.1276817822000324,0.010435270606816177,-12.122240475722888,0.41734082689292484,346.78260869565213,286.8953708124453
B.1.36.19,20A,0.12797400301067569,0.010435270606816177,-14.666093613621221,0.41734082689292484,348.0,286.8953708124453
B.1.530,20A,0.12919990313430785,0.010435270606816177,-13.842972388006414,0.41734082689292484,352.8571428571429,286.8953708124453
B.1.416.1,20A,0.12923751179643814,0.010435270606816177,-15.802169196502906,0.41734082689292484,353.0,286.8953708124453
B.1.160.16,20A,0.12932542780515427,0.010435270606816177,-14.734590883044556,0.41734082689292484,353.3333333333333,286.8953708124453
B.1.549,20A,0.12959211290419206,0.010435270606816177,-14.828951457503116,0.41734082689292484,354.3333333333333,286.8953708124453
B.1.480,20A,0.130145100978883,0.010435270606816177,-12.690080405724942,0.41734082689292484,356.3548387096774,286.8953708124453
B.1.221,20A,0.1306090195060993,0.010435270606816177,-13.581721441111268,0.41734082689292484,358.0,286.8953708124453
B.1.258,20A,0.1307648767626209,0.010435270606816177,-12.097114864697765,0.41734082689292484,358.5428571428572,286.8953708124453
B.1.36.31,20A,0.1311874146219372,0.010435270606816177,-11.862685850392257,0.41734082689292484,359.9902912621359,286.8953708124453
B.1.551,20A,0.13172413275623715,0.010435270606816177,-9.69993430325169,0.41734082689292484,361.7801287948482,286.8953708124453
B.1.471,20A,0.1332545180975685,0.010435270606816177,-14.358147451635658,0.41734082689292484,366.6111111111111,286.8953708124453
B.1.36.18,20A,0.13365019606285986,0.010435270606816177,-15.784380675292008,0.41734082689292484,367.8,286.8953708124453
B.1.36.7,20A,0.13557712030711092,0.010435270606816177,-16.161991228640257,0.41734082689292484,373.2857142857142,286.8953708124453
B.1.36.24,20A,0.13685091008107084,0.010435270606816177,-17.486942477886256,0.41734082689292484,376.66666666666663,286.8953708124453
B.1.111,20A,0.13776628734920982,0.010435270606816177,-12.671841372731441,0.41734082689292484,378.99043977055453,286.8953708124453
B.1.420,20A,0.13827009514887315,0.010435270606816177,-16.28946363256521,0.41734082689292484,380.235294117647,286.8953708124453
B.1.36.35,20A,0.1392113442556032,0.010435270606816177,-18.788501010854127,0.41734082689292484,382.5,286.8953708124453
B.1.36.29,20A,0.1481908811085223,0.010435270606816177,-18.765045609778525,0.41734082689292484,404.74999999999994,286.8953708124453
B.1.214.3,20A,0.14917717683599996,0.010435270606816177,-22.34325481036242,0.41734082689292484,406.66666666666663,286.8953708124453
B.1.438.1,20A,0.14930749253367384,0.010435270606816177,-19.434430308418044,0.41734082689292484,406.91379310344826,286.8953708124453
B.1.618,20A,0.15023127544951423,0.010435270606816177,-21.67436486301908,0.41734082689292484,408.66666666666663,286.8953708124453
B.1.619,20A,0.15363152129686586,0.010435270606816177,-22.180748685159337,0.41734082689292484,414.8636363636364,286.8953708124453
B.1.36.22,20A,0.15485059742872304,0.010435270606816177,-25.778823981037277,0.41734082689292484,417.0,286.8953708124453
B.1.470,20A,0.15659912503813325,0.010435270606816177,-26.510555391753115,0.41734082689292484,420.0,286.8953708124453
B.1.214.2,20A,0.15913457999227368,0.010435270606816177,-22.557099979081467,0.41734082689292484,424.27631578947364,286.8953708124453
B.1.636,20A,0.16109490661359477,0.010435270606816177,-23.851537780333373,0.41734082689292484,427.52083333333326,286.8953708124453
B.1.466.2,20A,0.16287283445216605,0.010435270606816177,-26.98135621700193,0.41734082689292484,430.44444444444446,286.8953708124453
B.1.560,20A,0.16381893145699808,0.010435270606816177,-27.794810251522147,0.41734082689292484,431.99999999999994,286.8953708124453
B.1.617.3,20A,0.16602358058394182,0.010435270606816177,-28.14507680455208,0.41734082689292484,435.6363636363636,286.8953708124453
B.1.627,20A,0.16708026757393632,0.010435270606816177,-25.040657326670832,0.41734082689292484,437.39588688946014,286.8953708124453
