seqName	clade
BA.2.66	21L
BA.2.75	22D
BA.2.75.3	22D
BA.2.71	21L
BA.2.72	21L
BA.2.74	21L
BA.2.73	21L
BA.2.69	21L
BA.2.68	21L
BA.2.75.2	22D
BA.2.60	21L
BA.2.70	21L
BA.2.75.5	22D
BA.2.75.4	22D
BA.2.75.6	22D
BA.2.78	21L
BA.2.76	21L
BA.2.75.1	22D
BA.2.75.7	22D
BA.2.79	21L
BA.2.77	21L
BA.2.75.10	22D
BA.2.81	21L
BA.2.80	21L
BA.2.79.1	21L
BA.2.82	21L
BA.2.83	21L
BA.2.86	23I
BA.2.86.1	23I
BA.2.86.2	23I
BA.2.86.3	23I
BA.3	21M
BA.3.1	21M
BA.2.87	21L
BA.2.86.6	23I
BA.2.86.4	23I
BA.2.86.5	23I
BA.4	22A
BA.2.86.7	23I
BA.4.1	22A
BA.4.1.4	22A
BA.4.1.3	22A
BA.4.1.5	22A
BA.4.1.6	22A
BA.4.1.7	22A
BA.4.1.1	22A
BA.4.1.2	22A
BA.4.1.10	22A
BA.4.1.9	22A
BA.4.1.8	22A
BA.4.2	22A
BA.4.3	22A
BA.4.4	22A
BA.4.1.11	22A
BA.4.5	22A
BA.4.6.1	22A
BA.4.6	22A
BA.4.6.2	22A
BA.5	22B
BA.5.1	22B
BA.4.6.4	22A
BA.4.6.5	22A
BA.4.6.3	22A
BA.4.7	22A
BA.5.1.1	22B
BA.5.1.2	22B
BA.5.1.3	22B
BA.5.1.5	22B
BA.5.1.18	22B
BA.5.1.4	22B
BA.5.1.6	22B
BA.5.1.8	22B
BA.5.1.12	22B
BA.5.1.7	22B
BA.5.1.9	22B
BA.5.1.15	22B
BA.5.1.17	22B
BA.5.1.11	22B
BA.5.1.22	22B
BA.5.1.23	22B
BA.5.1.20	22B
BA.5.1.10	22B
BA.5.1.21	22B
BA.5.1.24	22B
BA.5.1.28	22B
BA.5.1.19	22B
BA.5.1.25	22B
BA.5.1.27	22B
BA.5.1.31	22B
BA.5.1.29	22B
BA.5.1.32	22B
BA.5.1.33	22B
BA.5.1.35	22B
BA.5.1.36	22B
BA.5.1.34	22B
BA.5.1.37	22B
BA.5.2.2	22B
BA.5.2.1	22B
BA.5.2	22B
BA.5.2.3	22B
BA.5.2.5	22B
BA.5.2.4	22B
BA.5.1.38	22B
BA.5.2.7	22B
BA.5.2.6	22B
BA.5.1.26	22B
BA.5.2.8	22B
BA.5.2.24	22B
BA.5.2.9	22B
BA.5.2.12	22B
BA.5.2.10	22B
BA.5.2.11	22B
BA.5.2.13	22B
BA.5.1.30	22B
BA.5.2.14	22B
BA.5.2.16	22B
BA.5.2.26	22B
BA.5.2.20	22B
BA.5.2.23	22B
BA.5.2.25	22B
BA.5.2.19	22B
BA.5.2.21	22B
BA.5.2.22	22B
BA.5.2.31	22B
BA.5.2.28	22B
BA.5.2.27	22B
BA.5.2.30	22B
BA.5.2.36	22B
BA.5.2.32	22B
BA.5.2.33	22B
BA.5.2.34	22B
BA.5.2.35	22B
BA.5.2.38	22B
BA.5.2.46	22B
BA.5.2.44	22B
BA.5.2.41	22B
BA.5.2.47	22B
BA.5.2.43	22B
BA.5.2.39	22B
BA.5.2.40	22B
BA.5.2.45	22B
BA.5.2.48	22B
BA.5.2.29	22B
BA.5.2.52	22B
BA.5.2.51	22B
BA.5.2.53	22B
BA.5.2.58	22B
BA.5.2.54	22B
BA.5.2.55	22B
BA.5.2.57	22B
BA.5.3.4	22B
BA.5.3	22B
BA.5.2.62	22B
BA.5.2.37	22B
BA.5.3.2	22B
BA.5.2.59	22B
BA.5.2.61	22B
BA.5.3.1	22B
BA.5.2.63	22B
BA.5.2.60	22B
BA.5.3.3	22B
BA.5.3.5	22B
BA.5.6.3	22B
BA.5.2.56	22B
BA.5.5	22B
BA.5.5.1	22B
BA.5.6	22B
BA.5.5.3	22B
BA.5.5.2	22B
BA.5.6.1	22B
BA.5.6.2	22B
BB.2	21H
BC.1	21K
BA.5.7	22B
BA.5.6.4	22B
BA.5.9	22B
BA.5.10.1	22B
BA.5.10	22B
BA.5.11	22B
BE.1	22B
BC.2	21K
BD.1	21K
BE.1.4	22B
BE.1.2	22B
BA.5.8	22B
BE.1.1.2	22B
BE.1.3	22B
BE.1.2.1	22B
BE.1.4.1	22B
BE.4.2	22B
BE.1.4.2	22B
BE.1.1.1	22B
BE.2	22B
BE.1.4.4	22B
BE.4	22B
BE.3	22B
BE.4.1	22B
BE.1.4.3	22B
BE.4.1.1	22B
BE.6	22B
BF.1.1	22B
BE.7	22B
BE.1.1	22B
BE.11	22B
BE.12	22B
BE.10	22B
BE.9	22B
BE.8	22B
BE.13	22B
BF.2	22B
BF.1	22B
BF.4	22B
BF.5	22B
BF.3.1	22B
BF.5.1	22B
BF.5.4	22B
BF.5.2	22B
BF.7	22B
BF.6	22B
BF.5.5	22B
BF.7.1	22B
BF.7.2	22B
BF.7.3	22B
BF.7.4.1	22B
BF.7.5	22B
BF.7.4	22B
BF.3	22B
BF.7.5.1	22B
BF.7.9	22B
BF.7.8	22B
BF.7.7	22B
BF.7.10	22B
BF.7.6	22B
BF.7.13.1	22B
BF.7.11	22B
BF.7.13	22B
BF.7.12	22B
BF.7.21	22B
BF.7.13.2	22B
BF.7.14	22B
BF.7.14.1	22B
BF.7.4.2	22B
BF.7.14.4	22B
BF.7.14.3	22B
BF.7.15	22B
BF.7.16	22B
BF.7.17	22B
BF.7.19	22B
BF.7.18	22B
BF.7.14.5	22B
BF.7.19.1	22B
BF.7.20	22B
BF.7.14.6	22B
BF.7.22	22B
BF.7.26	22B
BF.7.24	22B
BF.7.23	22B
BF.8	22B
BF.7.27	22B
BF.10	22B
BF.11	22B
BF.10.1	22B
BF.11.3	22B
BF.13	22B
BF.14	22B
BF.11.1	22B
BF.12	22B
BF.11.4	22B
BF.16	22B
BF.11.5	22B
BF.11.2	22B
BF.7.14.2	22B
BF.15	22B
BF.17	22B
BF.18	22B
BF.19	22B
BF.31.1	22B
BF.9	22B
BF.23	22B
BF.25	22B
BF.24	22B
BF.20	22B
