count,date,nextcladePangoLineage,nextstrainClade
1,2024-02-12,JN.1.53.1,24A
1,2024-06-05,LB.1.8,24A
2,2025-02-06,LF.7.1,24H
1,2024-02-21,JN.1.17,24A
2,2024-06-03,KP.3.1.6,24C
1,2024-03-22,JN.1.48.2,24A
2,2024-11-12,XEC.14,24F
1,2025-01-06,MC.10.2,24E
28,2024-02-14,KV.2,24A
1,2024-09-24,KP.2.3.15,24G
3,2024-08-23,KP.2.19,24B
7,2024-08-05,LW.1,24C
2,2024-05-22,KS.1.1.2,24A
1,2024-04-21,KP.5,24B
2,2024-10-06,LB.1,24A
1,2024-04-27,LB.1,24A
1,2024-03-19,XDK.1,recombinant
1,2024-05-04,XDV.1,24D
4,2024-07-28,LB.1.3.5,24A
1,2024-04-28,XBB.1.16.6,23B
2,2024-07-03,KP.2.14,24B
4,2024-06-04,KP.2.27,24B
2,2024-09-03,MC.1.4,24E
1,2024-05-06,LZ.1.1,24A
3,2024-02-23,JN.1.27,24A
1,2024-08-27,MH.1,24A
10,2024-05-29,KP.3.2,24C
2,2025-01-21,MC.13,24E
3,2024-05-04,JN.1.16.1,24A
1,2024-09-17,MC.27,24E
4,2024-01-29,JN.1.41,24A
6,2025-02-19,KP.3.1.1,24E
1,2024-12-28,LF.7.2,24H
1,2024-03-10,JN.1.4.7,24A
1,2024-06-09,LB.1.4,24A
1,2025-01-11,MC.1.4,24E
4,2024-06-17,KP.3.2,24C
2,2025-01-20,MC.13.2,24E
4,2024-09-05,KP.4.1.3,24B
4,2024-01-08,HK.20.1,23F
1,2024-03-01,JN.1.47.2,24A
3,2024-07-09,LB.1.7.1,24A
1,2024-09-04,LB.1.2.3,24A
1,2024-01-27,JN.1.42.1,24A
25,2024-05-24,KP.2,24B
1,2024-03-15,JN.1.43.1,24A
1,2024-08-22,KS.1.3,24A
2,2024-10-22,NA.1,24A
1,2024-10-13,KP.2.28,24B
4,2024-10-22,MC.13,24E
1,2024-12-15,MC.34,24E
7,2024-01-13,JN.1.31,24A
8,2024-06-03,JN.1.7,24A
4,2024-02-03,JN.1.43.1,24A
4,2024-01-07,JN.1.43,24A
1,2024-01-07,JN.1.59,24A
4,2024-01-31,JN.1.17,24A
1,2024-01-21,XDP.1,recombinant
1,2024-07-20,KP.2.15.1,24B
10,2024-06-08,LB.1.7,24A
3,2024-10-16,MC.11,24E
2,2024-07-24,KP.4.1.2,24B
3,2024-07-30,MC.12,24E
2,2024-05-25,JN.1.67.1,24A
1,2024-03-12,JN.1.55,24A
1,2024-11-23,MC.29,24E
5,2024-08-12,LF.3.1.1,24A
1,2024-07-23,JN.1.23,24A
2,2024-09-01,MH.1,24A
1,2024-05-16,MD.1.1,24A
5,2025-03-06,XEQ,recombinant
1,2024-12-11,KP.2.3.6,24G
1,2025-03-07,JN.1.16.1,24A
12,2024-01-10,JN.1.43,24A
12,2024-01-08,JN.1.38,24A
18,2024-02-26,JN.1.7.5,24A
84,2024-08-31,KP.3.1.1,24E
1,2024-02-05,JN.1.42.1,24A
1,2024-06-10,KP.2.3.2,24G
2,2024-02-05,JN.1.5,24A
1,2024-09-13,KP.2.3.4,24G
3,2024-04-28,JN.1,24A
2,2024-02-21,JN.1.34,24A
6,2024-02-08,JN.1.46,24A
1,2025-03-09,KP.2,24B
3,2024-06-11,KW.1.1,24A
1,2024-05-05,KP.1.1.3,24B
7,2024-02-12,JN.1.32,24A
1,2024-03-06,JN.1.18.2,24A
4,2024-07-26,XDY,recombinant
2,2024-06-02,JN.1.7.8,24A
1,2025-01-02,NY.5,25A
1,2024-05-30,JN.1.11,24A
1,2024-05-02,KP.1.1.1,24B
5,2024-08-24,LW.1,24C
3,2024-01-25,JN.1.29,24A
1,2024-10-26,MC.10.1.1,24E
1,2025-02-02,MG.3,24B
2,2024-08-14,MC.14,24E
1,2024-01-24,JN.1.7.7,24A
7,2024-10-24,MC.1,24E
1,2024-03-12,JN.1.39.3,24A
1,2024-02-05,KH.1,23E
1,2024-11-14,XEC.5,24F
1,2024-01-27,JN.1.40,24A
1,2024-07-21,MC.28,24E
1,2024-11-13,KP.3.2.6,24C
2,2024-09-16,KP.2.3.8,24G
2,2024-06-27,KP.2.3.15,24G
2,2024-01-02,JN.6,23I
4,2024-07-22,KP.2.3.15,24G
1,2024-03-27,JN.1.18.3,24A
1,2024-02-14,JN.1.25.1,24A
2,2024-06-22,JN.1.32,24A
18,2024-04-17,JN.1.7,24A
1,2024-09-17,MK.3,24C
4,2024-07-22,KP.3.2.5,24C
1,2024-06-22,MS.1,24A
1,2024-12-21,MC.13.2,24E
5,2025-02-04,MC.28.1.1,24E
1,2024-01-18,JN.1.4.3,24A
1,2025-01-23,LF.7.7.2,24H
1,2024-01-08,JN.1.4.1,24A
1,2024-12-17,LF.7,24H
23,2024-04-15,JN.1.7,24A
1,2024-06-03,JN.1.58,24A
