method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,9.789347347074664e-05,1.5542816499486544e-06,8.821540861660582,0.12587017871677209,1000,50,50,0.6180541052462899,0.07142857142857142,750
stepwiseBFGS,0.0002042041183305221,4.405368692241557e-06,16.49856821879839,0.9045951381762626,1000,50,50,0.578926104233898,0.07142857142857142,943
stepwiseBFGS,7.88726585067681e-05,3.298468203010285e-06,13.951693640612998,0.6031414826783037,1000,50,50,0.6557063303128904,0.07142857142857142,836
stepwiseBFGS,5.087483650864591e-05,8.484975125582997e-07,8.694406393394132,0.1934433090316755,1000,50,50,0.6824001768020049,0.07142857142857142,900
stepwiseBFGS,0.00015919265815661,1.0411460176824734e-05,16.76721421908386,0.975802930705492,1000,50,50,0.5913359477305182,0.07142857142857142,830
stepwiseBFGS,0.00014824658686414532,3.205380795041934e-06,28.266841798384892,1.1157733352440693,1000,50,50,0.6807280464311902,0.07142857142857142,908
stepwiseBFGS,0.00022114329521653032,6.462193009009848e-06,70.98580683725596,2.3649720325993746,1000,50,50,0.4245690467464538,0.07142857142857142,968
stepwiseBFGS,0.00013114337170895313,6.411610967972612e-06,12.37845638870446,0.9385288088413318,1000,50,50,0.5552452521725193,0.07142857142857142,872
stepwiseBFGS,8.166116747156787e-05,4.697655741608766e-06,13.926834592139956,0.8878807509571934,1000,50,50,0.6045035820374266,0.07142857142857142,857
stepwiseBFGS,9.639154239170221e-05,1.7824309595132444e-06,14.062822223402113,0.25531393535111374,1000,50,50,0.5022140103585814,0.07142857142857142,920
stepwiseBFGS,9.776210413822653e-05,1.5283118856103345e-06,8.807863254702971,0.12258309076658142,1000,50,50,0.6180541052462899,0.07142857142857142,750
BFGS,7.426278039004978e-05,1.7018574105560886e-06,8.086412399413948,0.3406433247970159,2000,50,50,0.578926104233898,0.07142857142857142,943
BFGS,4.345468894096944e-05,7.628550729918247e-07,6.87777033378796,0.2557343980636879,2000,50,50,0.6557063303128904,0.07142857142857142,836
BFGS,7.430866757251465e-05,2.5415927914336882e-06,20.310621722658496,0.418679407081326,2000,50,50,0.6824001768020049,0.07142857142857142,900
BFGS,4.243642983048197e-05,2.4305689837632486e-06,4.291370302212097,0.2945961048503362,2000,50,50,0.5913359477305182,0.07142857142857142,830
BFGS,2.0228540544689433e-05,2.156195589839286e-06,3.1027741257088457,0.7661660005751157,2000,50,50,0.6807280464311902,0.07142857142857142,908
BFGS,9.177267746655833e-05,1.4140760832544374e-06,32.78424793332202,0.5385406901373153,2000,50,50,0.4245690467464538,0.07142857142857142,968
BFGS,0.0001420638538898965,2.6396760938548764e-06,17.776139329502463,0.23181627040587927,2000,50,50,0.5552452521725193,0.07142857142857142,872
BFGS,6.472240838535313e-05,3.5279080334797505e-06,4.747261606107462,0.595218860705358,2000,50,50,0.6045035820374266,0.07142857142857142,857
BFGS,3.9816273388290996e-05,1.7385869526039341e-06,5.288214287124981,0.19019330495756254,2000,50,50,0.5022140103585814,0.07142857142857142,920
BFGS,9.716674824702616e-05,3.346987448448258e-06,12.003058164747769,0.17270441179409332,2000,50,50,0.6180541052462899,0.07142857142857142,750
stepwiseBFGS,7.430275318336462e-05,1.7020203942698986e-06,8.087528698975474,0.34069054745816535,2000,50,50,0.578926104233898,0.07142857142857142,943
stepwiseBFGS,4.343823205216537e-05,7.63760009700698e-07,6.873984890063123,0.25594301315694207,2000,50,50,0.6557063303128904,0.07142857142857142,836
stepwiseBFGS,7.428049821865795e-05,2.571503159045907e-06,20.30847754497965,0.4268362276596865,2000,50,50,0.6824001768020049,0.07142857142857142,900
stepwiseBFGS,4.240843476485767e-05,2.427228668393433e-06,4.286911552529091,0.2943461055713247,2000,50,50,0.5913359477305182,0.07142857142857142,830
stepwiseBFGS,2.0240274830168547e-05,2.163084810926645e-06,3.1025197362183583,0.7676925165642505,2000,50,50,0.6807280464311902,0.07142857142857142,908
stepwiseBFGS,9.188896391386057e-05,1.414812134400638e-06,32.81584528414634,0.5388406865547581,2000,50,50,0.4245690467464538,0.07142857142857142,968
stepwiseBFGS,0.0001420339901541929,2.639411609457019e-06,17.777245177509464,0.231695934855897,2000,50,50,0.5552452521725193,0.07142857142857142,872
stepwiseBFGS,6.470053818884771e-05,3.5631187019709575e-06,4.749628668860325,0.600232325139562,2000,50,50,0.6045035820374266,0.07142857142857142,857
stepwiseBFGS,3.981621984368626e-05,1.740950491942641e-06,5.287976601717892,0.19068420886762222,2000,50,50,0.5022140103585814,0.07142857142857142,920
stepwiseBFGS,9.714784675826684e-05,3.350222048181355e-06,12.001097952373355,0.17319769308594526,2000,50,50,0.6180541052462899,0.07142857142857142,750
BFGS,2.8935142194520905e-05,6.200307650308666e-07,5.8861797776962925,0.2144627834611005,5000,50,50,0.578926104233898,0.07142857142857142,943
BFGS,1.400938354264195e-05,6.278541728990028e-07,1.6153399721101178,0.21540390814841068,5000,50,50,0.6557063303128904,0.07142857142857142,836
BFGS,2.988360478016363e-05,1.9388539626209673e-06,4.430355188046858,0.359045174310077,5000,50,50,0.6824001768020049,0.07142857142857142,900
BFGS,2.4780413004156465e-05,1.8316511183602602e-06,3.1776252697067644,0.15419660930456708,5000,50,50,0.5913359477305182,0.07142857142857142,830
BFGS,1.1306513087157493e-05,8.291234157589509e-07,2.5584161731144097,0.21554761082864538,5000,50,50,0.6807280464311902,0.07142857142857142,908
BFGS,3.649669942974577e-05,1.620045687836616e-06,10.562165157940619,0.37354887020264743,5000,50,50,0.4245690467464538,0.07142857142857142,968
BFGS,4.398026376134372e-05,9.284020089332534e-07,3.8220327778764362,0.21905227042338457,5000,50,50,0.5552452521725193,0.07142857142857142,872
BFGS,4.490304270396136e-05,1.6976733423067264e-06,9.05619932584315,0.28364488999538734,5000,50,50,0.6045035820374266,0.07142857142857142,857
BFGS,1.7912684891217315e-05,1.0428689540667124e-06,3.0410803817721668,0.20758966920891908,5000,50,50,0.5022140103585814,0.07142857142857142,920
BFGS,3.128477950550029e-05,1.3935171321676413e-06,3.1572757313789523,0.06662092468731647,5000,50,50,0.6180541052462899,0.07142857142857142,750
stepwiseBFGS,2.8916287360839228e-05,6.196705460716449e-07,5.874721955345643,0.214438015948075,5000,50,50,0.578926104233898,0.07142857142857142,943
stepwiseBFGS,1.400534697309077e-05,6.275739274165838e-07,1.6154663351241167,0.2152265181308674,5000,50,50,0.6557063303128904,0.07142857142857142,836
stepwiseBFGS,2.9939607238311998e-05,1.9525834505354443e-06,4.44537689469811,0.3627967405914074,5000,50,50,0.6824001768020049,0.07142857142857142,900
