method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
stepwiseBFGS,0.00012856168878949128,149.46201522334167,1000,100,100,0.6305752011043716,0.07142857142857142,1800
BFGS,0.015962174695469636,48648.83647337681,1000,200,198,0.6538443181463734,0.07142857142857142,3400
BFGS,0.0014076322557666533,4102.275931858503,1000,200,200,0.5557798714959785,0.07142857142857142,3400
BFGS,0.00014490782994303964,278.2002703904976,1000,200,200,0.6760957091466063,0.07142857142857142,3400
BFGS,0.00020145900946802873,444.39496617234283,1000,200,200,0.5679570214150541,0.07142857142857142,3400
BFGS,0.0014005597510959905,4456.587128225579,1000,200,200,0.5910810129701184,0.07142857142857142,3400
stepwiseBFGS,0.015605356097156534,45811.323174965015,1000,200,198,0.6538443181463734,0.07142857142857142,3400
stepwiseBFGS,0.00019514363634097413,508.61097405972026,1000,200,200,0.5557798714959785,0.07142857142857142,3400
stepwiseBFGS,0.0001446107656880362,277.4786927756282,1000,200,200,0.6760957091466063,0.07142857142857142,3400
stepwiseBFGS,0.00020261455217039756,444.55310741880135,1000,200,200,0.5679570214150541,0.07142857142857142,3400
stepwiseBFGS,0.00011546551369037391,392.6261561616008,1000,200,200,0.5910810129701184,0.07142857142857142,3400
BFGS,0.0011087868902819186,17609.943034680786,1000,500,500,0.671180439799959,0.07142857142857142,8000
BFGS,0.0012881089097383062,17679.575576125197,1000,500,500,0.594005415082549,0.07142857142857142,8000
BFGS,0.0010499407076520325,17888.340313424433,1000,500,500,0.6629537543935927,0.07142857142857142,8000
BFGS,0.015877291333137627,270209.13160089677,1000,500,499,0.6728116955639046,0.07142857142857142,8000
BFGS,0.001162139683095067,17096.42671846153,1000,500,500,0.6027932937021958,0.07142857142857142,8000
stepwiseBFGS,0.00014882928576840244,2560.760698485026,1000,500,500,0.671180439799959,0.07142857142857142,8000
stepwiseBFGS,0.00019816866688458445,2346.608618526949,1000,500,500,0.594005415082549,0.07142857142857142,8000
stepwiseBFGS,0.0001524704802186875,2578.427447451651,1000,500,500,0.6629537543935927,0.07142857142857142,8000
stepwiseBFGS,0.014948596452671844,254494.70058500246,1000,500,499,0.6728116955639046,0.07142857142857142,8000
stepwiseBFGS,0.00013771998078195957,2304.4155728653295,1000,500,500,0.6027932937021958,0.07142857142857142,8000
BFGS,0.0012948566461102576,85468.88389323476,1000,1000,1000,0.6522577056988501,0.07142857142857142,15000
BFGS,0.018690960947975552,1277928.0813552435,1000,1000,998,0.6323319797457012,0.07142857142857142,15000
BFGS,0.0012156359782215327,86390.31502307732,1000,1000,1000,0.6522675658252717,0.07142857142857142,15000
BFGS,0.0011388238505907298,79315.37389426108,1000,1000,1000,0.6986775350526692,0.07142857142857142,15000
BFGS,0.01764936813947316,1265157.341042613,1000,1000,999,0.5874902645106831,0.07142857142857142,15000
stepwiseBFGS,0.0001755364279753633,11369.167927554352,1000,1000,1000,0.6522577056988501,0.07142857142857142,15000
stepwiseBFGS,0.018395246504245948,1239336.2430429826,1000,1000,998,0.6323319797457012,0.07142857142857142,15000
stepwiseBFGS,0.00017752059675872368,12603.255637906326,1000,1000,1000,0.6522675658252717,0.07142857142857142,15000
stepwiseBFGS,0.00012139614051907236,7166.992007257303,1000,1000,1000,0.6986775350526692,0.07142857142857142,15000
stepwiseBFGS,0.017035796800615583,1226893.3037058194,1000,1000,999,0.5874902645106831,0.07142857142857142,15000
