method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,7.888523378606915e-05,3.2975937366847733e-06,13.954347676595367,0.6028219940930497,1000,50,50,0.6557063303128904,0.07142857142857142,836
BFGS,5.081239833928151e-05,8.463511900588376e-07,8.679462554310119,0.19099211432261,1000,50,50,0.6824001768020049,0.07142857142857142,900
BFGS,0.00015923966713761857,1.0397229811471223e-05,16.772767936846673,0.9747506039083198,1000,50,50,0.5913359477305182,0.07142857142857142,830
BFGS,0.00014824846169103162,3.2001349724526564e-06,28.26704330243135,1.1145200526966814,1000,50,50,0.6807280464311902,0.07142857142857142,908
stepwiseBFGS,0.0002042041183305221,4.405368692241557e-06,16.49856821879839,0.9045951381762626,1000,50,50,0.578926104233898,0.07142857142857142,943
stepwiseBFGS,7.88726585067681e-05,3.298468203010285e-06,13.951693640612998,0.6031414826783037,1000,50,50,0.6557063303128904,0.07142857142857142,836
stepwiseBFGS,5.087483650864591e-05,8.484975125582997e-07,8.694406393394132,0.1934433090316755,1000,50,50,0.6824001768020049,0.07142857142857142,900
stepwiseBFGS,0.00015919265815661,1.0411460176824734e-05,16.76721421908386,0.975802930705492,1000,50,50,0.5913359477305182,0.07142857142857142,830
stepwiseBFGS,0.00014824658686414532,3.205380795041934e-06,28.266841798384892,1.1157733352440693,1000,50,50,0.6807280464311902,0.07142857142857142,908
BFGS,0.00020190839032107602,1.7658003424431334e-06,73.67641561312828,2.033474119307212,1000,100,100,0.7150896768495489,0.07142857142857142,1568
BFGS,0.00019850429208498511,5.937093164457773e-06,144.9296138120842,4.943194102069813,1000,100,100,0.6033757877656705,0.07142857142857142,1542
BFGS,0.0003257836006487395,3.969093839059688e-06,401.71108621860054,2.1836214392748796,1000,100,100,0.7349992348288191,0.07142857142857142,1617
BFGS,0.00018133008251174313,6.461188319060932e-06,102.47445121953649,7.370874045431406,1000,100,100,0.5600388500715291,0.07142857142857142,1588
BFGS,0.00012841339884788624,5.259048383076495e-06,149.22925006584862,5.3869678814420805,1000,100,100,0.6351879027562662,0.07142857142857142,1640
stepwiseBFGS,0.00020181024494326762,1.7718946800452022e-06,73.63271747377735,2.039777997429489,1000,100,100,0.7150896768495489,0.07142857142857142,1568
stepwiseBFGS,0.00019830552816986458,5.938884169077964e-06,144.7815247306617,4.945484398679157,1000,100,100,0.6033757877656705,0.07142857142857142,1542
stepwiseBFGS,0.0003258637311312412,3.916872464096439e-06,401.88675624319495,2.169835183870557,1000,100,100,0.7349992348288191,0.07142857142857142,1617
stepwiseBFGS,0.00018146804896890055,6.458669740961635e-06,102.53343954880975,7.368303315598585,1000,100,100,0.5600388500715291,0.07142857142857142,1588
stepwiseBFGS,0.00012856289848228942,5.2579629512394565e-06,149.4647635828751,5.388947046055073,1000,100,100,0.6351879027562662,0.07142857142857142,1640
BFGS,0.016009229399914244,0.010819159380144919,48629.49882621695,35915.08446977136,1000,200,198,0.6944749854777506,0.07142857142857142,3006
BFGS,0.001400127905838407,0.003803778330881022,4092.9339009191744,10866.362478951918,1000,200,200,0.5781776309833179,0.07142857142857142,2948
BFGS,0.00014475014030254673,6.218393073402252e-06,278.2144356189541,17.19532687841066,1000,200,200,0.7232411134320074,0.07142857142857142,2989
BFGS,0.0002029138368729061,4.712755826884173e-06,444.1797693402662,9.925515915375938,1000,200,200,0.6164308540930971,0.07142857142857142,3051
BFGS,0.001391717573957819,0.0032928787919530677,4412.121766768722,10392.912681032474,1000,200,200,0.5899875892149486,0.07142857142857142,3243
stepwiseBFGS,0.015605678191765766,0.00934739508862435,45813.87656209579,30918.558180407144,1000,200,198,0.6944749854777506,0.07142857142857142,3006
