method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
stepwiseBFGS,0.006447403548164724,1513.9037816048997,100,50,47,0.6068939953301762,0.07142857142857142,1000
stepwiseBFGS,0.008387516733666668,1071.9391637471133,100,50,44,0.7419604994590042,0.07142857142857142,1000
stepwiseBFGS,0.013103844625040108,1344.8932678556305,100,50,45,0.586702683054716,0.07142857142857142,1000
stepwiseBFGS,0.00464756693455576,1198.9053726260747,100,50,47,0.6745727810862953,0.07142857142857142,1000
stepwiseBFGS,0.015275450228635796,4404.348980817839,100,50,43,0.449606243977859,0.07142857142857142,1000
stepwiseBFGS,0.023109691365824962,2490.2329584099693,100,50,43,0.5381548132775978,0.07142857142857142,1000
stepwiseBFGS,0.0111402714147669,1890.3802540383317,100,50,47,0.528873152058396,0.07142857142857142,1000
stepwiseBFGS,0.009054841909091983,1013.2874438664637,100,50,44,0.512169168594168,0.07142857142857142,1000
stepwiseBFGS,0.01971171472785098,1314.6296451628787,100,50,42,0.5725445751258895,0.07142857142857142,1000
BFGS,0.009036199945603682,2143.234973981227,200,50,49,0.6310740299249,0.07142857142857142,1000
BFGS,0.007781068120275951,1411.9096857258507,200,50,47,0.6070246800028817,0.07142857142857142,1000
BFGS,0.009994727514786875,984.6534638572912,200,50,47,0.7423988120556243,0.07142857142857142,1000
BFGS,0.012311281319896351,1238.353833713432,200,50,45,0.5867381574696594,0.07142857142857142,1000
BFGS,0.00020897790159852257,36.81561154751228,200,50,50,0.6747817125775883,0.07142857142857142,1000
BFGS,0.011328422863814764,3710.3506660272437,200,50,45,0.44976038130559165,0.07142857142857142,1000
BFGS,0.008561383523851185,1275.356386599857,200,50,44,0.5383337702343399,0.07142857142857142,1000
BFGS,0.010993989535101415,2263.8390340302626,200,50,47,0.52887952208959,0.07142857142857142,1000
BFGS,0.017685395083262175,2127.2905417165716,200,50,49,0.5125546388869553,0.07142857142857142,1000
BFGS,0.016582588415708383,1368.3640986565927,200,50,47,0.5732881829858454,0.07142857142857142,1000
stepwiseBFGS,0.009036751486642338,2143.346249005136,200,50,49,0.6310740299249,0.07142857142857142,1000
stepwiseBFGS,0.00778155644685039,1411.8476347273395,200,50,47,0.6070246800028817,0.07142857142857142,1000
stepwiseBFGS,0.009995080685846962,984.7039989103226,200,50,47,0.7423988120556243,0.07142857142857142,1000
stepwiseBFGS,0.012307462298097115,1237.9664441989307,200,50,45,0.5867381574696594,0.07142857142857142,1000
stepwiseBFGS,0.00020907523318818165,36.83779388854345,200,50,50,0.6747817125775883,0.07142857142857142,1000
stepwiseBFGS,0.011328845935086207,3710.550117487318,200,50,45,0.44976038130559165,0.07142857142857142,1000
stepwiseBFGS,0.008561354921562283,1275.3553310841696,200,50,44,0.5383337702343399,0.07142857142857142,1000
stepwiseBFGS,0.010993936257520215,2263.8413351622844,200,50,47,0.52887952208959,0.07142857142857142,1000
stepwiseBFGS,0.017685567543653424,2127.3065974057167,200,50,49,0.5125546388869553,0.07142857142857142,1000
stepwiseBFGS,0.01658117645682762,1367.9184460927486,200,50,47,0.5732881829858454,0.07142857142857142,1000
BFGS,0.0004299600139828594,21.31978858406909,500,50,50,0.6311287903311829,0.07142857142857142,1000
BFGS,0.00012523947194920874,10.692763873363665,500,50,50,0.6072564407151795,0.07142857142857142,1000
BFGS,0.0010533254284224068,417.45435198766836,500,50,49,0.7425756939789087,0.07142857142857142,1000
BFGS,0.0003154230657339349,42.040821803047216,500,50,50,0.5871265745075039,0.07142857142857142,1000
BFGS,0.0001801994361352021,34.142067118237314,500,50,50,0.6747817125775883,0.07142857142857142,1000
BFGS,0.0005312662135031342,151.99823250319446,500,50,50,0.4501441008267603,0.07142857142857142,1000
BFGS,0.009513710904155193,2552.382188273781,500,50,49,0.5387232885897798,0.07142857142857142,1000
BFGS,0.0002470140032181016,29.912135821106784,500,50,50,0.5290679867857032,0.07142857142857142,1000
BFGS,0.0002859840561120671,39.44034882642653,500,50,50,0.5126262330664219,0.07142857142857142,1000
