method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.0001402260215820455,6.609083338444565e-06,69.10774286864991,4.741946419024976,1000,50,50,0.5753254430253607,0.047619047619047616,1459
stepwiseBFGS,9.952313159744713e-05,2.6390710513268878e-06,17.31483114405566,0.6796835815226772,1000,50,50,0.5101251250612189,0.047619047619047616,1242
stepwiseBFGS,0.00048299135482185424,1.2330299229412672e-05,405.26261984490264,10.978971995889925,1000,50,50,0.37510259362146464,0.047619047619047616,1189
stepwiseBFGS,2.2637878480145846e-05,3.154608360627301e-06,10.267218483741576,1.1768259923004805,1000,50,50,0.49649252767683144,0.047619047619047616,1296
stepwiseBFGS,0.00013067303272573346,1.6379038668462315e-06,27.04742002998714,0.4617865087651832,1000,50,50,0.5790015821670464,0.047619047619047616,1254
stepwiseBFGS,0.00014022545356762888,6.609265645530906e-06,69.10668973858053,4.742012235324981,1000,50,50,0.5753254430253607,0.047619047619047616,1459
BFGS,0.00020426388787277716,4.405502649895721e-06,16.495312130580814,0.9046151509552267,1000,50,50,0.578926104233898,0.07142857142857142,943
BFGS,7.888523378606915e-05,3.2975937366847733e-06,13.954347676595367,0.6028219940930497,1000,50,50,0.6557063303128904,0.07142857142857142,836
BFGS,5.081239833928151e-05,8.463511900588376e-07,8.679462554310119,0.19099211432261,1000,50,50,0.6824001768020049,0.07142857142857142,900
BFGS,0.00015923966713761857,1.0397229811471223e-05,16.772767936846673,0.9747506039083198,1000,50,50,0.5913359477305182,0.07142857142857142,830
BFGS,0.00014824846169103162,3.2001349724526564e-06,28.26704330243135,1.1145200526966814,1000,50,50,0.6807280464311902,0.07142857142857142,908
stepwiseBFGS,0.0002042041183305221,4.405368692241557e-06,16.49856821879839,0.9045951381762626,1000,50,50,0.578926104233898,0.07142857142857142,943
stepwiseBFGS,7.88726585067681e-05,3.298468203010285e-06,13.951693640612998,0.6031414826783037,1000,50,50,0.6557063303128904,0.07142857142857142,836
stepwiseBFGS,5.087483650864591e-05,8.484975125582997e-07,8.694406393394132,0.1934433090316755,1000,50,50,0.6824001768020049,0.07142857142857142,900
stepwiseBFGS,0.00015919265815661,1.0411460176824734e-05,16.76721421908386,0.975802930705492,1000,50,50,0.5913359477305182,0.07142857142857142,830
stepwiseBFGS,0.00014824658686414532,3.205380795041934e-06,28.266841798384892,1.1157733352440693,1000,50,50,0.6807280464311902,0.07142857142857142,908
BFGS,0.00013337444622459746,3.581872611329219e-06,5.105024791503697,0.0967296703072924,1000,50,50,0.7328177564433017,0.14285714285714285,535
BFGS,0.00025841744837121097,1.3105247789376251e-05,12.148228168342012,1.10770579697987,1000,50,50,0.5700061086434389,0.14285714285714285,536
BFGS,8.302325598657964e-05,7.311393106773787e-06,3.0825742284367013,0.6252517100416969,1000,50,50,0.9094931672508453,0.14285714285714285,504
BFGS,0.0003896085657737161,1.0225439083935612e-05,21.149429921576527,0.7339643562817906,1000,50,50,0.4457169547849398,0.14285714285714285,564
BFGS,0.00010912270424570665,5.842608765385674e-06,8.666557537127064,0.4258688642910901,1000,50,50,0.7637564021518317,0.14285714285714285,595
stepwiseBFGS,0.00013342542254965299,3.581369502967696e-06,5.10976654483114,0.0979235329073561,1000,50,50,0.7328177564433017,0.14285714285714285,535
